time,camera_x,camera_y,camera_z,lookat_x,lookat_y,lookat_z
73,447.35432277659754,20,-663.2300580440333,621.7167691655767,0,503.45631283987
74,423.935411386564,20,-678.4384769251408,594.5158603819152,0,535.3044850870867
75,399.99999999999994,20,-692.820323027551,565.6854249492382,0,565.6854249492379
76,375.57725022871256,20,-706.3580742871416,535.3044850870866,0,594.5158603819154
77,350.69691743126185,20,-719.0352370393337,503.4563128398697,0,621.7167691655769
78,325.3893144606403,20,-730.8363661140806,470.2282018339787,0,647.2135954999578
79,299.6852747327298,20,-741.7470836534299,435.71122801202165,0,670.9364543563393
80,273.6161146605351,20,-751.7540966287266,399.9999999999998,0,692.820323027551
81,247.21359549995802,20,-760.8452130361228,363.1923997916376,0,712.8052193506942
82,220.50988465359939,20,-769.0093567506551,325.38931446064015,0,730.8363661140806
83,193.5375164797342,20,-776.2365810207972,286.69435963624,0,746.8643411977615
84,166.32935265420744,20,-782.5180805870446,247.2135954999582,0,760.8452130361228
85,138.9185421335442,20,-787.8462024097664,207.0552360820166,0,772.7406610312546
86,111.33848076805226,20,-792.2144549932563,166.32935265420724,0,782.5180805870446
87,83.62277061412298,20,-795.6175162946187,125.14757203218494,0,790.1506724761101
88,55.80517899530042,20,-798.0512402078593,83.62277061412277,0,795.6175162946187
89,27.919597362000914,20,-799.5126616152766,41.868764994354834,0,798.9036278036591
90,9.797174393178826e-14,20,-800.0,2.4492935982947065e-13,0,800.0
91,-27.91959736200072,20,-799.5126616152766,-41.868764994355054,0,798.9036278036591
92,-55.80517899530022,20,-798.0512402078593,-83.622770614123,0,795.6175162946187
93,-83.6227706141228,20,-795.6175162946187,-125.14757203218517,0,790.1506724761101
94,-111.33848076805242,20,-792.2144549932563,-166.32935265420676,0,782.5180805870447
95,-138.91854213354438,20,-787.8462024097664,-207.05523608201614,0,772.7406610312547
96,-166.3293526542076,20,-782.5180805870444,-247.2135954999577,0,760.8452130361229
97,-193.537516479734,20,-776.2365810207972,-286.6943596362402,0,746.8643411977614
98,-220.5098846535992,20,-769.0093567506551,-325.3893144606403,0,730.8363661140806
99,-247.21359549995782,20,-760.8452130361229,-363.19239979163785,0,712.8052193506941
100,-273.61611466053495,20,-751.7540966287268,-399.9999999999994,0,692.8203230275514
101,-299.6852747327296,20,-741.74708365343,-435.71122801202125,0,670.9364543563395
102,-325.38931446064015,20,-730.8363661140806,-470.22820183397835,0,647.2135954999582
103,-350.69691743126197,20,-719.0352370393335,-503.4563128398699,0,621.7167691655767
104,-375.57725022871267,20,-706.3580742871414,-535.3044850870867,0,594.5158603819152
105,-400.0000000000001,20,-692.8203230275509,-565.6854249492383,0,565.6854249492377
106,-423.9354113865638,20,-678.4384769251409,-594.5158603819149,0,535.3044850870871
107,-447.35432277659737,20,-663.2300580440335,-621.7167691655764,0,503.45631283987035
108,-470.2282018339784,20,-647.2135954999579,-647.2135954999578,0,470.2282018339787
109,-492.5291802605266,20,-630.4086028853776,-670.9364543563393,0,435.71122801202165
110,-514.2300877492314,20,-612.8355544951825,-692.820323027551,0,399.99999999999983
111,-535.3044850870866,20,-594.5158603819154,-712.8052193506945,0,363.19239979163706
112,-555.7266963671979,20,-575.4718402709209,-730.8363661140804,0,325.38931446064083
113,-575.471840270921,20,-555.7266963671977,-746.8643411977612,0,286.6943596362407
114,-594.5158603819154,20,-535.3044850870865,-760.8452130361227,0,247.21359549995822
115,-612.8355544951824,20,-514.2300877492315,-772.7406610312546,0,207.05523608201665
116,-630.4086028853777,20,-492.52918026052646,-782.5180805870446,0,166.3293526542073
117,-647.2135954999578,20,-470.2282018339786,-790.1506724761102,0,125.14757203218427
118,-663.2300580440335,20,-447.35432277659726,-795.6175162946187,0,83.62277061412354
119,-678.4384769251408,20,-423.935411386564,-798.9036278036591,0,41.868764994355594
120,-692.8203230275507,20,-400.00000000000034,-800.0,0,2.9391523179536476e-13
121,-706.3580742871416,20,-375.5772502287126,-798.9036278036591,0,-41.868764994355004
122,-719.0352370393334,20,-350.6969174312622,-795.6175162946187,0,-83.62277061412296
123,-730.8363661140808,20,-325.3893144606401,-790.1506724761101,0,-125.1475720321851
124,-741.7470836534299,20,-299.68527473272985,-782.5180805870447,0,-166.32935265420673
125,-751.7540966287268,20,-273.61611466053483,-772.7406610312547,0,-207.0552360820161
126,-760.8452130361228,20,-247.21359549995805,-760.8452130361229,0,-247.21359549995765
127,-769.0093567506552,20,-220.5098846535991,-746.8643411977614,0,-286.69435963624016
128,-776.2365810207972,20,-193.53751647973422,-730.8363661140806,0,-325.3893144606403
129,-782.5180805870444,20,-166.32935265420784,-712.8052193506942,0,-363.1923997916378
130,-787.8462024097664,20,-138.91854213354426,-692.8203230275514,0,-399.9999999999993
131,-792.2144549932563,20,-111.33848076805266,-670.9364543563395,0,-435.71122801202125
132,-795.6175162946187,20,-83.62277061412269,-647.2135954999582,0,-470.22820183397823
133,-798.0512402078593,20,-55.805178995300466,-621.7167691655767,0,-503.4563128398699
