time,camera_x,camera_y,camera_z,lookat_x,lookat_y,lookat_z
67,359.66990016932556,20,-347.3291852294987,466.7902132486009,0,179.18397477265017
68,347.3291852294986,20,-359.6699001693257,456.7727288213004,0,203.36832153790024
69,334.56530317942924,20,-371.57241273869704,445.503262094184,0,226.9952498697733
70,321.3938048432697,20,-383.02222155948897,433.0127018922193,0,250.0
71,307.8307376628292,20,-394.00537680336095,419.3352839727119,0,272.31951750751364
72,293.89262614623664,20,-404.50849718747367,404.5084971874738,0,293.89262614623647
73,279.5964517353735,20,-414.5187862775208,388.57298072848545,0,314.6601955249188
74,264.9596321166025,20,-424.02404807821296,371.57241273869704,0,334.56530317942924
75,249.99999999999997,20,-433.01270189221935,353.55339059327383,0,353.55339059327366
76,234.73578139294534,20,-441.4737964294635,334.5653031794291,0,371.5724127386971
77,219.18557339453864,20,-449.3970231495835,314.6601955249186,0,388.57298072848556
78,203.36832153790021,20,-456.7727288213004,293.8926261462367,0,404.5084971874736
79,187.30329670795612,20,-463.59192728339366,272.3195175075135,0,419.33528397271203
80,171.01007166283443,20,-469.84631039295414,249.99999999999986,0,433.0127018922194
81,154.50849718747375,20,-475.52825814757676,226.99524986977352,0,445.50326209418387
82,137.8186779084996,20,-480.63084796915945,203.3683215379001,0,456.77272882130046
83,120.96094779983386,20,-485.14786313799823,179.18397477265,0,466.79021324860094
84,103.95584540887965,20,-489.07380036690284,154.50849718747386,0,475.52825814757676
85,86.82408883346514,20,-492.403876506104,129.40952255126038,0,482.9629131445342
86,69.58655048003267,20,-495.1340343707852,103.95584540887951,0,489.07380036690284
87,52.26423163382687,20,-497.2609476841366,78.21723252011559,0,493.84417029756884
88,34.878236872062764,20,-498.7820251299121,52.26423163382673,0,497.2609476841366
89,17.44974835125057,20,-499.6954135095479,26.167978121471773,0,499.31476737728696
90,6.123233995736766e-14,20,-500.0,1.5308084989341916e-13,0,500.0
91,-17.44974835125045,20,-499.6954135095479,-26.16797812147191,0,499.3147673772869
92,-34.87823687206264,20,-498.7820251299121,-52.264231633826874,0,497.2609476841366
93,-52.264231633826746,20,-497.2609476841366,-78.21723252011573,0,493.84417029756884
94,-69.58655048003276,20,-495.1340343707851,-103.95584540887923,0,489.0738003669029
95,-86.82408883346524,20,-492.403876506104,-129.4095225512601,0,482.9629131445342
96,-103.95584540887975,20,-489.0738003669028,-154.50849718747355,0,475.5282581475768
97,-120.96094779983376,20,-485.14786313799823,-179.18397477265015,0,466.7902132486009
98,-137.8186779084995,20,-480.63084796915945,-203.36832153790021,0,456.7727288213004
99,-154.50849718747364,20,-475.5282581475768,-226.99524986977366,0,445.5032620941838
100,-171.01007166283432,20,-469.8463103929542,-249.9999999999996,0,433.0127018922196
101,-187.303296707956,20,-463.5919272833937,-272.31951750751324,0,419.3352839727122
102,-203.3683215379001,20,-456.77272882130046,-293.89262614623647,0,404.50849718747384
103,-219.18557339453872,20,-449.39702314958345,-314.6601955249187,0,388.57298072848545
104,-234.73578139294543,20,-441.47379642946345,-334.56530317942924,0,371.57241273869704
105,-250.00000000000006,20,-433.0127018922193,-353.55339059327395,0,353.55339059327355
106,-264.9596321166024,20,-424.024048078213,-371.5724127386968,0,334.56530317942946
107,-279.59645173537336,20,-414.5187862775209,-388.5729807284852,0,314.66019552491895
108,-293.8926261462365,20,-404.5084971874737,-404.5084971874736,0,293.8926261462367
109,-307.8307376628291,20,-394.005376803361,-419.33528397271203,0,272.3195175075135
110,-321.3938048432696,20,-383.022221559489,-433.0127018922194,0,249.9999999999999
111,-334.5653031794291,20,-371.5724127386971,-445.50326209418404,0,226.99524986977315
112,-347.3291852294987,20,-359.66990016932556,-456.7727288213003,0,203.36832153790053
113,-359.6699001693256,20,-347.32918522949865,-466.79021324860076,0,179.18397477265043
